symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
SOL-USDT,LONG,MEDIUM,83.71000000,83.11918840,84.89162320,2026-02-20 12:01:22,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.800 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.800 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=82.62, EMA55=82.76;❌ روند EMA 4h: EMA21=83.24, EMA55=84.74, EMA200=99.30;✅ RSI 30m: RSI=63.40 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0261 | سطح=MEDIUM;✅ شکست ورود: قیمت=83.71, EMA21=83.02, آستانه=0.003;✅ ADX: ADX=81.47 [حد > 25];✅ CCI: CCI=128.12;✅ SAR: SAR=83.4556, قیمت=83.7100;✅ Stochastic: K=86.75, D=28.92;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
LTC-USDT,LONG,MEDIUM,53.56000000,53.26815400,54.14369200,2026-02-20 12:01:23,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.625 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.625 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=53.05, EMA55=53.29;❌ روند EMA 4h: EMA21=53.57, EMA55=54.23, EMA200=60.51;✅ RSI 30m: RSI=65.79 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0307 | سطح=MEDIUM;✅ شکست ورود: قیمت=53.56, EMA21=53.20, آستانه=0.003;✅ ADX: ADX=92.95 [حد > 25];✅ CCI: CCI=111.21;✅ SAR: SAR=53.4136, قیمت=53.5600;✅ Stochastic: K=84.34, D=28.11;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
XAUT-USDT,LONG,LOW,5015.32000000,5005.75320200,5039.23699500,2026-02-20 13:02:50,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=4987.33, EMA55=4968.82;✅ روند EMA 4h: EMA21=4965.56, EMA55=4964.59, EMA200=4888.30;✅ RSI 30m: RSI=67.42 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=2.6367 | سطح=MEDIUM;✅ شکست ورود: قیمت=5015.32, EMA21=4994.31, آستانه=0.003;✅ ADX: ADX=58.38 [حد > 25];✅ CCI: CCI=149.18;✅ SAR: SAR=5010.8760, قیمت=5015.3200;✅ Stochastic: K=83.02, D=27.67;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
BTC-USDT,LONG,MEDIUM,68152.90000000,67905.97383000,68770.21542500,2026-02-20 13:02:51,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.691 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.691 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=67337.41, EMA55=67269.61;❌ روند EMA 4h: EMA21=67501.91, EMA55=68378.91, EMA200=75481.60;✅ RSI 30m: RSI=69.12 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=47.5376 | سطح=MEDIUM;✅ شکست ورود: قیمت=68152.90, EMA21=67598.76, آستانه=0.003;✅ ADX: ADX=89.63 [حد > 25];✅ CCI: CCI=136.79;✅ SAR: SAR=67886.8380, قیمت=68152.9000;✅ Stochastic: K=93.75, D=31.25;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
TRX-USDT,LONG,MEDIUM,0.28330000,0.28263160,0.28463680,2026-02-20 13:02:51,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.28, EMA55=0.28;❌ روند EMA 4h: EMA21=0.28, EMA55=0.28, EMA200=0.28;❌ RSI 30m: RSI=47.53 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.0001 | سطح=MEDIUM;❌ شکست ورود: قیمت=0.28, EMA21=0.28, آستانه=0.003;✅ ADX: ADX=67.74 [حد > 25];❌ CCI: CCI=-82.15;✅ SAR: SAR=0.2830, قیمت=0.2833;❌ Stochastic: K=46.15, D=15.38;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
AVAX-USDT,LONG,MEDIUM,9.24100000,9.18216200,9.38809500,2026-02-20 13:02:51,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.500 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=9.00, EMA55=8.98;❌ روند EMA 4h: EMA21=9.04, EMA55=9.12, EMA200=10.23;✅ RSI 30m: RSI=78.67 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0261 | سطح=MEDIUM;✅ شکست ورود: قیمت=9.24, EMA21=9.06, آستانه=0.003;✅ ADX: ADX=86.90 [حد > 25];✅ CCI: CCI=118.40;✅ SAR: SAR=9.2201, قیمت=9.2410;✅ Stochastic: K=80.49, D=26.83;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
XAUT-USDT,LONG,LOW,5016.54000000,5005.44812880,5038.72374240,2026-02-20 14:35:15,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=4992.17, EMA55=4972.06;✅ روند EMA 4h: EMA21=4965.67, EMA55=4964.63, EMA200=4888.31;✅ RSI 30m: RSI=64.68 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=2.0063 | سطح=MEDIUM;✅ شکست ورود: قیمت=5016.54, EMA21=4998.93, آستانه=0.003;✅ ADX: ADX=46.65 [حد > 25];✅ CCI: CCI=111.93;✅ SAR: SAR=5008.2002, قیمت=5016.5400;✅ Stochastic: K=82.28, D=27.43;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
XRP-USDT,SHORT,LOW,1.40740000,1.41550000,1.38715000,2026-02-20 15:21:30,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.516 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.751 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.42, EMA55=1.43;✅ روند EMA 4h: EMA21=1.43, EMA55=1.45, EMA200=1.60;✅ RSI 30m: RSI=42.20 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0009 | سطح=MEDIUM;✅ شکست ورود: قیمت=1.41, EMA21=1.42, آستانه=0.003;✅ ADX: ADX=38.35 [حد > 25];✅ CCI: CCI=-141.38;✅ SAR: SAR=1.4117, قیمت=1.4074;❌ Stochastic: K=15.97, D=5.32;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop"
TRX-USDT,LONG,MEDIUM,0.28520000,0.28443440,0.28673120,2026-02-20 15:21:31,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.28, EMA55=0.28;❌ روند EMA 4h: EMA21=0.28, EMA55=0.28, EMA200=0.28;✅ RSI 30m: RSI=65.31 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0001 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.29, EMA21=0.28, آستانه=0.003;✅ ADX: ADX=73.77 [حد > 25];✅ CCI: CCI=185.41;✅ SAR: SAR=0.2846, قیمت=0.2852;✅ Stochastic: K=86.21, D=28.74;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop"
FIL-USDT,SHORT,LOW,0.91290000,0.91990080,0.89889840,2026-02-20 15:21:31,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.100 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.700 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.92, EMA55=0.93;✅ روند EMA 4h: EMA21=0.94, EMA55=0.95, EMA200=1.08;✅ RSI 30m: RSI=42.06 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0006 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.91, EMA21=0.92, آستانه=0.003;✅ ADX: ADX=62.96 [حد > 25];✅ CCI: CCI=-119.88;✅ SAR: SAR=0.9187, قیمت=0.9129;❌ Stochastic: K=13.37, D=4.46;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop"
XRP-USDT,SHORT,LOW,1.40762000,1.41664880,1.38956240,2026-02-20 16:08:07,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.853 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.524 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.41, EMA55=1.43;✅ روند EMA 4h: EMA21=1.43, EMA55=1.45, EMA200=1.60;✅ RSI 30m: RSI=43.19 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0018 | سطح=MEDIUM;✅ شکست ورود: قیمت=1.41, EMA21=1.41, آستانه=0.003;✅ ADX: ADX=30.44 [حد > 25];✅ CCI: CCI=-116.36;❌ SAR: SAR=1.4037, قیمت=1.4076;❌ Stochastic: K=16.84, D=5.61;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
ARB-USDT,SHORT,LOW,0.09410000,0.09535400,0.09159200,2026-02-20 16:08:08,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.818 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.750 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA55=0.10;✅ روند EMA 4h: EMA21=0.10, EMA55=0.11, EMA200=0.14;✅ RSI 30m: RSI=35.19 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0002 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.09, EMA21=0.10, آستانه=0.003;✅ ADX: ADX=44.00 [حد > 25];✅ CCI: CCI=-181.23;❌ SAR: SAR=0.0928, قیمت=0.0941;❌ Stochastic: K=25.49, D=8.50;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
OP-USDT,SHORT,LOW,0.12720000,0.12991560,0.12176880,2026-02-20 16:08:08,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.929 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.917 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.13, EMA55=0.15;✅ روند EMA 4h: EMA21=0.15, EMA55=0.17, EMA200=0.22;✅ RSI 30m: RSI=35.96 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0000 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.13, EMA21=0.13, آستانه=0.003;✅ ADX: ADX=48.09 [حد > 25];✅ CCI: CCI=-150.78;❌ SAR: SAR=0.1251, قیمت=0.1272;❌ Stochastic: K=23.60, D=7.87;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
FIL-USDT,SHORT,LOW,0.91480000,0.92144440,0.90151120,2026-02-20 16:08:09,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.889 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.92, EMA55=0.93;✅ روند EMA 4h: EMA21=0.93, EMA55=0.95, EMA200=1.08;✅ RSI 30m: RSI=45.46 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0013 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.91, EMA21=0.92, آستانه=0.003;✅ ADX: ADX=54.91 [حد > 25];✅ CCI: CCI=-104.11;❌ SAR: SAR=0.9101, قیمت=0.9148;❌ Stochastic: K=23.53, D=7.84;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
